,bioregionName,genus,genusCount,imageCount,rank,source,species,speciesCount,specimenCount,status,subfamily,subfamilyCount,subspecies,taxonName
0,Afrotropical,(bethylidae),0,0,species,specimen1.txt,ga01,0,1,morphotaxon,(bethylidae),0,,(bethylidae)(bethylidae) ga01
1,Afrotropical,(diaspididae),0,0,species,specimen1.txt,(indet),0,39,indetermined,(diaspididae),0,,(diaspididae)(diaspididae) (indet)
2,Afrotropical,(formicidae),0,0,species,specimen1.txt,(indet),0,7850,indetermined,(formicidae),0,,(formicidae)(formicidae) (indet)
3,Afrotropical,(indet),0,0,species,specimen52.txt,(indet),0,37,indetermined,(formicidae),0,,(formicidae)(indet) (indet)
4,Afrotropical,(mutillidae),0,0,species,specimen1.txt,(indet),0,2,indetermined,(mutillidae),0,,(mutillidae)(mutillidae) (indet)
5,Afrotropical,ankylomyrma,0,34,species,worldants,coronacantha,0,9,valid,agroecomyrmecinae,0,,agroecomyrmecinaeankylomyrma coronacantha
6,Afrotropical,(amblyoponinae),0,0,species,specimen1.txt,(indet),0,6,indetermined,amblyoponinae,0,,amblyoponinae(amblyoponinae) (indet)
7,Afrotropical,mystrium,0,0,species,specimen31.txt,afrc-mz01,0,8,morphotaxon,amblyoponinae,0,,amblyoponinaemystrium afrc-mz01
8,Afrotropical,mystrium,0,4,species,specimen1.txt,mz01,0,10,morphotaxon,amblyoponinae,0,,amblyoponinaemystrium mz01
9,Afrotropical,mystrium,0,32,species,worldants,silvestrii,0,15,valid,amblyoponinae,0,,amblyoponinaemystrium silvestrii
10,Afrotropical,prionopelta,0,8,species,specimen1.txt,(indet),0,279,indetermined,amblyoponinae,0,,amblyoponinaeprionopelta (indet)
11,Afrotropical,prionopelta,0,57,species,worldants,aethiopica,0,11,valid,amblyoponinae,0,,amblyoponinaeprionopelta aethiopica
12,Afrotropical,prionopelta,0,4,species,specimen1.txt,afr002,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta afr002
13,Afrotropical,prionopelta,0,4,species,specimen1.txt,afr003,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta afr003
14,Afrotropical,prionopelta,0,4,species,specimen1.txt,afr004,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta afr004
15,Afrotropical,prionopelta,0,4,species,specimen1.txt,afr005,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta afr005
16,Afrotropical,prionopelta,0,8,species,specimen1.txt,afr006,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta afr006
17,Afrotropical,prionopelta,0,4,species,specimen1.txt,afr007,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta afr007
18,Afrotropical,prionopelta,0,4,species,specimen1.txt,afr008,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta afr008
19,Afrotropical,prionopelta,0,9,species,specimen31.txt,afrc-za01,0,4,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta afrc-za01
20,Afrotropical,prionopelta,0,21,species,worldants,amieti,0,7,valid,amblyoponinae,0,,amblyoponinaeprionopelta amieti
21,Afrotropical,prionopelta,0,8,species,specimen1.txt,ao01,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta ao01
22,Afrotropical,prionopelta,0,4,species,specimen1.txt,ao02,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta ao02
23,Afrotropical,prionopelta,0,0,species,specimen1.txt,cm02,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta cm02
24,Afrotropical,prionopelta,0,67,species,worldants,concenta,0,17,valid,amblyoponinae,0,,amblyoponinaeprionopelta concenta
25,Afrotropical,prionopelta,0,9,species,worldants,humicola,0,3,valid,amblyoponinae,0,,amblyoponinaeprionopelta humicola
26,Afrotropical,prionopelta,0,0,species,specimen1.txt,ug01,0,27,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta ug01
27,Afrotropical,prionopelta,0,4,species,specimen1.txt,za01,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaeprionopelta za01
28,Afrotropical,stigmatomma,0,21,species,specimen1.txt,(indet),0,492,indetermined,amblyoponinae,0,,amblyoponinaestigmatomma (indet)
29,Afrotropical,stigmatomma,0,4,species,specimen1.txt,afrc-lim-01,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma afrc-lim-01
30,Afrotropical,stigmatomma,0,4,species,specimen1.txt,afrc-tz-05,0,4,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma afrc-tz-05
31,Afrotropical,stigmatomma,0,0,species,specimen31.txt,afrc-tz01,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma afrc-tz01
32,Afrotropical,stigmatomma,0,4,species,specimen31.txt,afrc-tz02,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma afrc-tz02
33,Afrotropical,stigmatomma,0,4,species,specimen31.txt,afrc-tz03,0,3,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma afrc-tz03
34,Afrotropical,stigmatomma,0,4,species,specimen31.txt,afrc-tz04,0,3,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma afrc-tz04
35,Afrotropical,stigmatomma,0,4,species,specimen31.txt,afrc-tz05,0,6,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma afrc-tz05
36,Afrotropical,stigmatomma,0,4,species,specimen1.txt,bmnh01,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma bmnh01
37,Afrotropical,stigmatomma,0,4,species,specimen1.txt,bmnh03,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma bmnh03
38,Afrotropical,stigmatomma,0,6,species,specimen1.txt,bmnh04,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma bmnh04
39,Afrotropical,stigmatomma,0,16,species,specimen1.txt,cf01,0,9,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma cf01
40,Afrotropical,stigmatomma,0,0,species,specimen1.txt,cf02,0,9,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma cf02
41,Afrotropical,stigmatomma,0,4,species,specimen1.txt,cf03,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma cf03
42,Afrotropical,stigmatomma,0,5,species,specimen1.txt,cf04,0,3,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma cf04
43,Afrotropical,stigmatomma,0,0,species,specimen1.txt,cf05,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma cf05
44,Afrotropical,stigmatomma,0,0,species,specimen1.txt,cfm01,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma cfm01
45,Afrotropical,stigmatomma,0,4,species,specimen1.txt,ci02,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma ci02
46,Afrotropical,stigmatomma,0,12,species,specimen1.txt,cm01,0,6,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma cm01
47,Afrotropical,stigmatomma,0,0,species,specimen1.txt,cm02,0,1,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma cm02
48,Afrotropical,stigmatomma,0,26,species,worldants,denticulatum,0,42,valid,amblyoponinae,0,,amblyoponinaestigmatomma denticulatum
49,Afrotropical,stigmatomma,0,12,species,specimen1.txt,ga01,0,23,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma ga01
50,Afrotropical,stigmatomma,0,0,species,specimen1.txt,ga02,0,2,morphotaxon,amblyoponinae,0,,amblyoponinaestigmatomma ga02
